"PC6","PC4","longitude","latitude"
"2533JS","2533",80161.893,452054.463
"2533AA","2533",78728.449,452568.712
"2533LR","2533",80249.796,452029.245
"2533JL","2533",80172.887,452105.938
"2531RG","2531",80880.02,451946.161
"2533LK","2533",80227.307,452035.07
"2541RK","2541",79067.293,451184.161
"2545GV","2545",78826.801,451709.414
"2546VJ","2546",78507.184,452903.751
"2545GW","2545",78837.873,451720.706
"2545JT","2545",78702.528,451888.205
"2533HT","2533",79875.527,451675.427
"2545JT","2545",78693.891,451881.716
"2545GG","2545",78623.167,451914.212
"2545GW","2545",78868.942,451677.009
"2533LR","2533",80269.627,451996.773
"2533HT","2533",79812.479,451746.592
"2533JS","2533",80168.193,452059.217
"2545GK","2545",78784.342,451692.694
"2545GH","2545",78785.703,451717.147
"2545GH","2545",78790.4,451710.608
"2545HK","2545",79145.467,451308.568
"2545JN","2545",78237.02,451669.086
"2545GK","2545",78804.666,451665.479
"2545GH","2545",78799.819,451698.37
"2531HG","2531",80809.44,451917.37
"2531HE","2531",80786.117,451909.365
"2545HB","2545",79095.594,451235.896
"2545HA","2545",79082.416,451273.475
"2541RK","2541",79079.767,451194.366
"2546AD","2546",79019.815,452955.176
"2545HJ","2545",79121.056,451340.944
"2545HA","2545",79012.581,451393.193
"2545HA","2545",79027.704,451372.792
"2533HN","2533",79920.633,451571.967
"2533HN","2533",79925.111,451566.757
"2533HW","2533",79938.12,451606.983
"2544JN","2544",77382.959,451331.002
"2544JP","2544",77402.937,451309.474
"2541HR","2541",78854.724,451093.207
"2541HR","2541",78863.962,451066.777
"2545JN","2545",78205.736,451646.829
"2541HR","2541",78865.269,451063.037
"2543BG","2543",77760.422,451051.386
"2545GH","2545",78705.778,451798.103
"2543BG","2543",77590.415,451225.572
"2543BG","2543",77604.929,451199.345
"2544CV","2544",77600.837,452188.591
"2545GH","2545",78708.098,451794.715
"2542JK","2542",77420.773,450774.017
"2545GM","2545",78888.025,451503.04
"2545GX","2545",78877.693,451664.975
"2542NJ","2542",77578.774,450063.301
"2545GM","2545",78891.775,451505.913
"2545GV","2545",78866.904,451655.825
"2545GK","2545",78881.732,451626.797
"2541HR","2541",78860.067,451077.919
"2543BG","2543",77750.876,451170.8
"2545GM","2545",78889.274,451481.333
"2545GM","2545",78897.749,451477.22
"2543AN","2543",77980.333,451151.945
"2543AJ","2543",77965.183,451118.204
"2545GG","2545",78596.436,451917.633
"2543AP","2543",78005.696,451127.784
"2545GM","2545",78928.059,451540.897
"2545GM","2545",78909.373,451525.907
"2545HH","2545",79102.14,451366.031
"2545GM","2545",78876.903,451494.123
"2545HA","2545",79032.76,451366.222
"2543VG","2543",77876.862,450935.053
"2545GG","2545",78573.048,451950.402
"2546BB","2546",78628.73,453063.147
"2545GD","2545",78581.724,451986.055
"2545HK","2545",79139.906,451315.944
"2546EL","2546",78466.102,452879.156
"2545GH","2545",78818.313,451697.44
"2533JL","2533",80179.072,452110.62
"2545GM","2545",78900.421,451512.413
"2533JL","2533",80154.963,452092.371
"2546CD","2546",78560.48,452514.597
"2533HV","2533",79895.794,451651.88
"2546XL","2546",78995.499,452978.389
"2541XP","2541",78784.649,452081.609
"2545GV","2545",78817.672,451721.614
"2545GW","2545",78842.581,451714.416
"2545PJ","2545",78902.83,451645.934
"2545GV","2545",78821.475,451716.213
"2546TJ","2546",78721.674,452794.04
"2542NJ","2542",77609.109,450033.997
"2544JP","2544",77414.328,451297.292
"2533CG","2533",79620.322,451441.228
"2545HB","2545",79090.962,451249.106
"2545HJ","2545",79127.653,451332.195
"2544JP","2544",77462.048,451246.151
"2543BG","2543",77748.481,451040.68
"2542NJ","2542",77590.203,450048.867
"2542EJ","2542",78013.003,450180.061
"2546AA","2546",79172.092,453095.535
"2545GM","2545",78894.582,451474.831
"2545GM","2545",78903.099,451514.328
"2542EJ","2542",78021.801,450219.601
"2531HC","2531",80711.207,451961.806
"2533LR","2533",80246.128,452035.22
"2533HW","2533",79953.096,451589.597
"2543AK","2543",78002.383,451082.234
"2542EJ","2542",78007.546,450208.984
"2543AP","2543",78017.647,451115.343
"2533JL","2533",80160.874,452096.845
"2531TV","2531",80566.422,452252.249
"2545CG","2545",78162.245,452560.918
"2544ES","2544",77075.381,451344.362
"2542JL","2542",77435.494,450757.564
"2542EG","2542",78104.631,450254.193
"2544JK","2544",77728.214,451465.786
"2544JP","2544",77443.848,451265.656
"2545GV","2545",78804.239,451739.564
"2545GD","2545",78556.505,451968.356
"2545GH","2545",78774.811,451766.962
"2545GG","2545",78549.149,451946.952
"2542JM","2542",77458.911,450762.914
"2544JP","2544",77468.698,451239.024
"2542KD","2542",77982.554,450206.221
"2543AN","2543",77986.767,451151.734
"2543AN","2543",77992.588,451140.092
"2533JK","2533",80206.451,452131.344
"2533JM","2533",80148.669,452087.607
"2545GV","2545",78783.315,451793.618
"2543BG","2543",77728.638,451128.723
"2545JE","2545",78600.538,451890.294
"2543BG","2543",77741.047,451161.812
"2541RM","2541",79213.793,451220.601
"2545GD","2545",78577.884,451983.36
"2545GD","2545",78574.326,451980.863
"2545GG","2545",78578.326,451942.986
"2533JS","2533",80191.975,452077.173
"2531XC","2531",80306.811,452648.617
"2544HR","2544",77869.474,451446.168
"2545JG","2545",78591.788,451891.7
"2541RM","2541",79226.414,451231.441
"2543BG","2543",77766.882,451057.178
"2541RM","2541",79238.468,451241.795
"2544JP","2544",77431.237,451279.171
"2542NJ","2542",77567.85,450077.097
"2544JN","2544",77372.442,451342.335
"2541HR","2541",78838.443,451139.783
"2533JR","2533",80250.924,452121.866
"2542JJ","2542",77389.175,450809.331
"2545HK","2545",79143.294,451311.45
"2533HT","2533",79858.005,451695.783
"2533GA","2533",79777.78,451822.692
"2533HV","2533",79878.565,451671.896
"2533CG","2533",79628.795,451433.777
"2544JK","2544",77703.577,451506.807
"2541HR","2541",78848.72,451110.383
"2533AC","2533",78680.997,452530.636
"2545GH","2545",78824.603,451686.816
"2545GK","2545",78845.22,451639.385
"2545GV","2545",78853.718,451673.446
"2541HR","2541",78843.573,451125.105
"2533AE","2533",78726.885,452582.125
"2546AN","2546",78656.61,452638.492
"2533AB","2533",78707.089,452551.762
"2544JK","2544",77686.634,451524.565
"2531HE","2531",80786.117,451909.365
"2545GD","2545",78549.211,451963.35
"2545HA","2545",79010.751,451395.565
"2545GS","2545",78638.874,451985.098
"2545GM","2545",78943.64,451520.243
"2545GD","2545",78541.603,451957.961
"2545GV","2545",78714.858,451836.502
"2543BG","2543",77610.423,451193.169
"2545GK","2545",78869.973,451617.873
"2546BK","2546",78664.481,452663.197
"2545GH","2545",78688.686,451821.559
"2532RX","2532",79708.3,451380.885
"2546BP","2546",78668.862,452916.812
"2546BC","2546",78640.943,452945.253
"2546XG","2546",78965.603,452953.296
"2542EG","2542",78111.426,450259.346
"2531XB","2531",80479.217,452396.968
"2531XB","2531",80490.613,452379.432
"2545HK","2545",79153.305,451298.144
"2545HK","2545",79162.677,451285.703
"2533AD","2533",78683.767,452450.989
"2531HD","2531",80720.694,451949.5
"2531HD","2531",80745.629,451917.434
"2533CG","2533",79639.569,451421.264
"2545GM","2545",78875.211,451485.791
"2533CG","2533",79584.51,451485.25
"2545GM","2545",78917.205,451504.193
"2545GM","2545",78904.496,451482.311
"2533CG","2533",79570.809,451498.918
"2544HT","2544",77875.658,451452.289
"2544HT","2544",77902.327,451479.127
"2546VB","2546",78704.799,452950.12
"2531XR","2531",80264.494,452637.093
"2542EJ","2542",78050.898,450213.531
"2543AK","2543",77990.263,451093.952
"2543AK","2543",77977.755,451106.047
"2545GL","2545",78846.887,451610.762
"2545GM","2545",78908.418,451485.27
"2545GM","2545",78911.415,451516.419
"2545GM","2545",78876.903,451494.123
"2544NL","2544",76301.966,450591.569
"2531HH","2531",80810.582,452011.315
"2541HR","2541",78844.593,451122.188
"2532RP","2532",79964.155,451588.316
"2533HV","2533",79903.296,451643.155
"2542NK","2542",77643.074,449981.568
"2533HW","2533",79923.459,451624.001
"2542JH","2542",77371.326,450829.279
"2531HD","2531",80715.423,451956.337
"2531HD","2531",80730.689,451936.535
"2545GW","2545",78824.077,451739.095
"2545GV","2545",78752.554,451830.202
"2545GV","2545",78744.521,451824.322
"2545GV","2545",78723.049,451818.127
"2545GV","2545",78727.616,451811.984
"2533LK","2533",80233.944,452024.2
"2542KD","2542",77997.683,450191.663
"2545GZ","2545",78939.303,451580.373
"2533CM","2533",80531.349,452563.662
"2533JM","2533",80136.805,452078.627
"2545GV","2545",78801.41,451788.52
"2533JS","2533",80180.317,452068.368
"2533JL","2533",80185.229,452115.28
"2533LK","2533",80220.677,452046.015
"2546BK","2546",78664.262,452656.243
"2541RL","2541",79245.606,451247.925
"2546BJ","2546",78666.315,452702.331
"2545GK","2545",78768.609,451713.569
"2532RX","2532",79688.457,451371.734
"2533HN","2533",79915.396,451578.058
"2545GK","2545",78835.989,451651.379
"2531HC","2531",80705.578,451969.106
"2545AA","2545",78055.784,452664.323
"2533HT","2533",79790.906,451760.841
"2545GX","2545",78887.381,451651.675
"2533HT","2533",79868.512,451683.576
"2543BG","2543",77754.248,451045.85
"2545GM","2545",78926.626,451497.588
"2545AA","2545",77855.795,452665.936
"2542NJ","2542",77561.601,450084.99
"2546EL","2546",78489.008,452899.631
"2533AB","2533",78704.011,452549.093
"2545GV","2545",78862.564,451661.625
"2545GV","2545",78879.676,451638.757
"2545CZ","2545",78025.508,452716.386
"2543AM","2543",77967.628,451163.579
"2531PL","2531",80915.011,451828.103
"2542JK","2542",77413.85,450781.753
"2543AM","2543",77971.48,451159.864
"2542JL","2542",77424.7,450769.627
"2533EA","2533",80590.28,452554.759
"2546AB","2546",79104.78,453031.818
"2545GH","2545",78685.598,451825.756
"2533AD","2533",78691.162,452441.753
"2533AD","2533",78720.387,452448.422
"2545GZ","2545",78934.332,451587.615
"2543BG","2543",77658.538,451198.457
"2545GV","2545",78684.606,451869.097
"2545GV","2545",78694.173,451856.591
"2545GV","2545",78689.713,451862.423
"2533GE","2533",79836.672,451730.391
"2545GG","2545",78637.447,451876.992
"2545GG","2545",78642.55,451870.446
"2545GH","2545",78785.703,451717.147
"2532BB","2532",80123.686,451446.276
"2533LP","2533",80226.061,452067.914
"2533JK","2533",80239.839,452156.616
"2531VC","2531",80746.455,452499.887
"2545GL","2545",78824.171,451640.09
"2545GK","2545",78840.68,451645.285
"2545GH","2545",78808.097,451690.331
"2546VJ","2546",78514.666,452904.474
"2531XS","2531",80151.485,452701.868
"2533JS","2533",80155.812,452049.873
"2532BC","2532",80154.98,451359.508
"2545CZ","2545",78023.229,452726.698
"2544HT","2544",77904.642,451480.98
"2544HT","2544",77899.46,451475.85
"2544HT","2544",77896.363,451472.785
"2545GH","2545",78768.087,451739.596
"2545GW","2545",78853.65,451699.652
"2545GX","2545",78908.381,451622.962
"2545GM","2545",78866.868,451584.37
"2545GX","2545",78874.568,451669.266
"2545GM","2545",78883.841,451474.254
"2545NW","2545",78932.484,451478.86
"2544JK","2544",77709.115,451501.003
"2545GV","2545",78803.798,451766.142
"2545GH","2545",78816.577,451679.25
"2545CZ","2545",78079.897,452645.543
"2545AA","2545",77877.407,452666.545
"2545AA","2545",77866.601,452666.157
"2542EH","2542",78071.369,450228.967
"2533AD","2533",78717.172,452446.725
"2545GH","2545",78716.808,451783.687
"2533AA","2533",78719.906,452561.853
"2543AN","2543",77999.346,451139.558
"2546EL","2546",78477.494,452889.339
"2533HT","2533",79837.473,451721.653
"2543BG","2543",77656.553,451201.632
"2543BG","2543",77653.775,451203.617
"2542NK","2542",77648.861,449974.116
"2545GK","2545",78776.303,451703.385
"2545GV","2545",78807.616,451761.05
"2545GH","2545",78795.18,451704.397
"2533JM","2533",80124.159,452069.055
"2533JK","2533",80213.386,452136.593
"2533JM","2533",80130.338,452073.732
"2533JR","2533",80238.109,452112.154
"2544LM","2544",77220.861,450202.689
