category,fsq_id,name,latitude,longitude,address,PC6
Cafeteria,90a40dcefc92438a8cfa034d,Hapje Fastfoodrestaurant Het,52.05452,4.26907,Leyweg 299/K,2545CJ
Snack Place,51bdd318498efb7c21ecc262,Snackbar Het Hapje,52.054979,4.269123,Leyweg,2545EJ
Bar,4ed14f1502d5feaa1d5c0f51,Boemel De,52.055362,4.272169,Vreeswijkstraat 240,2546CE
Café,4ed14f1502d5feaa1d5c0f51,Boemel De,52.055362,4.272169,Vreeswijkstraat 240,2546CE
Coffee Shop,4ed14f1502d5feaa1d5c0f51,Boemel De,52.055362,4.272169,Vreeswijkstraat 240,2546CE
Restaurant,2096948ef13e4d41400dae75,Citra Indonesia Toko,52.049893,4.266518,Zuidlarenstraat 80,2545VZ
Coffee Shop,5a492e1d9fca562e83a9c282,Espressobar HagaZiekenhuis,52.056326,4.263778,,2545AA
Food Stand,4ec77fcaf79041351cbaf9a1,Oliebollenkraam Leyweg,52.057032,4.265566,,2545CZ
Restaurant,53a6e458498e60f10d7f9d5f,HagaPlaza,52.056468,4.26456,Leyweg 275,2545AV
Cafeteria,4e76c396b61c22c638c3df06,Veolia Koffiehok,52.056139,4.266696,Leyweg,2545CG
Gay Bar,4c78232ebd346dcb3e1df1ef,PikaPiss,52.059106,4.271682,Lopikplein 2,2546VJ
Cafeteria,4dd979cce4cd37c893dde791,Cyprus Grillroom Cafetaria,52.059412,4.271717,Maarsbergenstraat 73,2546VE
Indonesian Restaurant,51433459e4b092bb68f8ed30,Toko Sinar,52.056309,4.271772,Maartensdijklaan 42,2541XR
Snack Place,4ee4e566a69d89905c799dac,Snackbar Trax,52.041466,4.277698,,2541JJ
French Restaurant,4d5682a5611aa35ddfdc4139,Petit France,52.04657,4.27843,Leyweg 707t,2545GM
American Restaurant,4c4ed29cd667d13ac82004a1,Kfc,52.046528,4.278488,Leyweg 785,2545GM
Fast Food Restaurant,4c4ed29cd667d13ac82004a1,Kfc,52.046528,4.278488,Leyweg 785,2545GM
Noodle Restaurant,5c76c2050d8a0f002cc25a1b,Eazie,52.046988,4.278193,Leyweg 761,2545GM
Beer Garden,508bbf6be4b0167a9d4f0a10,Cafe,52.045959,4.279787,,2545HA
Coffee Shop,4e4a5f56fa76a0c058cebe6e,Paviljoen Escamp,52.045216,4.280202,Leyweg 795,2545HA
Turkish Restaurant,5163f2f8e4b09b1d798ce9bb,Pinar Bakkerij,52.044971,4.280795,,2545HA
Bakery,56bc699e498e2830316164c7,Bakkerij Seda,52.045409,4.280856,Leyweg 1170,2545HH
Restaurant,a52bb1cec60b4f663c688fb7,Schuur Café Restaurant De,52.045326,4.280973,Leyweg 1206,2545HH
Sandwich Restaurant,520378b9498e679b2c35f487,Partners,52.047363,4.278363,,2545GZ
Dining and Drinking,4def4bf8183822e7cf3515c6,Cafe Resturant Partners,52.047489,4.278187,Layweg,2545GZ
Bakery,4f6c2f7de4b04cb2928e9084,Bakkerij C.J. van Kempen,52.048174,4.276307,Leyweg 647,2545GK
Asian Restaurant,4de511107d8b2547eb415896,Allways Wok,52.047658,4.277259,Leyweg 701,2545GK
Bakery,4e4fb5c77d8bd425e492d9c5,Multi-Vlaai,52.0483,4.276131,Leyweg,2545GK
Snack Place,59d50f43a22db71c0e2b223b,Allerley,52.047796,4.277527,Leyweg,2545GV
Deli,508fbe84e4b0c3ef09809e26,Subway,52.049806,4.274724,Leyweg 918,2545GV
Fast Food Restaurant,508fbe84e4b0c3ef09809e26,Subway,52.049806,4.274724,Leyweg 918,2545GV
Italian Restaurant,50f51e86e4b0c40b56c689b6,Eataly,52.049764,4.274782,Leyweg 918,2545GV
Fast Food Restaurant,4da5d6ea0cb6d75e2a003bc7,De Beste Bakker,52.049694,4.274996,,2545GV
Food Truck,50705351e4b0508a5d29df29,Vietnamese Loempia's,52.049694,4.274996,,2545GV
Pizzeria,4d8241a4baf9a35d937aa621,Pizza Fantasia,52.047658,4.276911,Leyweg 687,2545GL
Sushi Restaurant,5b51dc15cad1b6002ccbefe7,Sushi Ya,52.0477,4.276853,,2545GL
Indonesian Restaurant,5450c410498efe95d304982e,Toko Lestari,52.044684,4.281753,,2545HK
Fast Food Restaurant,4e5bc51f2271886715117159,Royal,52.044572,4.282024,,2545HK
Seafood Restaurant,4e5b815cb61c4aaa3e17060f,Vishandel Leyweg,52.045336,4.282459,,2541CX
Sushi Restaurant,50915ff4e4b03b8014549ca1,Sushi Doremi,52.044222,4.282742,Steenwijklaan 62,2541RM
Bar,5959018fc824ae1df7708ff9,Efes-Marmaris Cafe-Restaurant,52.048174,4.276654,,2545GH
Cafeteria,4d3e890a1a67a09089220650,Leyweg Cafetaria,52.048718,4.275895,Leyweg 595/S,2545GH
