category,fsq_id,name,latitude,longitude,address,PC6
Food and Beverage Retail,d147a3fb805541b0c4f11fd6,Seker Snoep,52.042902,4.275923,2e Eeldepad 43,2541JH
Bicycle Store,acad51568ac64a1219b595a8,Dutch Bicycle Trading Group BV,52.042902,4.275923,2e Eeldepad 37,2541JH
Clothing Store,568bd88b498eab1328f8d7d3,Kik Outlet,52.04652,4.276142,Leyweg,2545RD
Convenience Store,53bc0283498e09a2d63f276e,De Noten Bar,52.048136,4.274627,Leyweg 595Z,2545RW
Computers and Electronics Retail,4ff5b99ce4b0cdc6b79ecdb2,Telfort,52.048384,4.276015,Leyweg 633,2545GK
Bookstore,4e6f755088779c905df6d92a,Boekenvoordeel,52.048342,4.276073,Leyweg 631,2545GK
Retail,b8e0cbeab7b24c03b9bad057,S.A. Fashion Center,52.048342,4.276073,Leyweg 657 G,2545GK
Women's Store,a9ab85396d2740bc934dcb93,Sibilla Mode,52.048258,4.27619,Leyweg 643,2545GK
Retail,37680c79ca7b4838b3d7ca0d,Textiel Gomez,52.048258,4.27619,Leyweg 643,2545GK
Cosmetics Store,4e6f748462e1d475e231ee15,Ici Paris Xl,52.04809,4.276771,Leyweg 657N,2545GK
Outlet Mall,5c8bb4fd492822002d9d0ff9,Leyweg,52.048045,4.276722,,2545GK
Optometrist,583073296431e52c191e3076,Pearle Opticiens,52.048133,4.276365,Leyweg 649,2545GK
Eyecare Store,583073296431e52c191e3076,Pearle Opticiens,52.048133,4.276365,Leyweg 649,2545GK
Bookstore,c52414f761ed404ec7878622,AKO in Den Haag,52.048034,4.276733,Leyweg 657H,2545GK
Flower Store,a0d830dcdc2749399ea38cc2,Bloemenshop Present,52.04805,4.276513,Leyweg 657w,2545GK
Butcher,3ed4b78833984e4a31326317,Krygsman Poeliers (H Vd Hoeven),52.048049,4.276482,Leyweg 665,2545GK
Grocery Store / Supermarket,4b9ab2eaf964a52033ce35e3,Jumbo,52.049554,4.275422,Leyweg 922K,2545GV
Electronics Store,4cfbc5cffeec6dcbfb7b4836,GSM-Shop,52.049764,4.274782,Leyweg 918/C,2545GV
Furniture and Home Store,4da99fd48154abafc297a9ad,Blokker,52.049554,4.275422,Leyweg 922/G,2545GV
Discount Store,4e5b7e0e8877c8a76dff5b0f,Big Bazar,52.049387,4.275308,,2545GV
Video Games Store,4e268bffa809510950d83c08,E-Plaza,52.049777,4.275226,,2545GV
Eyecare Store,4f046b617ee579338fc03e6a,Opticus opticiens,52.049874,4.275206,"Leyweg 541, 2545 Den Haag",2545GV
Shopping Mall,5c18d2ebdab4b1002c2bfa35,Aardappelen Op De Markt,52.049271,4.27545,Leyweg,2545GV
Grocery Store / Supermarket,6120f781b0dcfd3277ccb905,Aldi,52.049389,4.275527,Leyweg 920A,2545GV
Women's Store,4e524e4314955fcafdc5cfa4,Miss Etam,52.049065,4.276219,Leyweg 938,2545GV
